timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681491775138,959,ContactPage,200,OK,Master Thread Group 1-4,text,true,,78464,125,7,7,http://lifecharger.eu/contact/,698,0,527
1681491775743,599,ContactPage,200,OK,Master Thread Group 1-10,text,true,,78464,125,6,6,http://lifecharger.eu/contact/,295,0,145
1681491775336,1754,AboutPage,200,OK,Master Thread Group 1-6,text,true,,141759,123,5,5,https://lifecharger.eu/about/,1351,0,1202
1681491775644,1448,AboutPage,200,OK,Master Thread Group 1-9,text,true,,141759,123,5,5,https://lifecharger.eu/about/,1044,0,894
1681491775545,1596,HomePage,200,OK,Master Thread Group 1-8,text,true,,185953,117,4,4,https://lifecharger.eu/,1139,0,972
1681491775033,2115,AboutPage,200,OK,Master Thread Group 1-2,text,true,,141759,123,4,4,https://lifecharger.eu/about/,1673,0,1514
1681491777092,545,ContactPage,200,OK,Master Thread Group 1-6,text,true,,78464,125,4,4,http://lifecharger.eu/contact/,277,0,136
1681491777144,587,ContactPage,200,OK,Master Thread Group 1-8,text,true,,78464,125,3,3,http://lifecharger.eu/contact/,300,0,147
1681491777149,644,ContactPage,200,OK,Master Thread Group 1-2,text,true,,78464,125,2,2,http://lifecharger.eu/contact/,325,0,163
1681491775041,3110,HomePage,200,OK,Master Thread Group 1-3,text,true,,185953,117,1,1,https://lifecharger.eu/,1909,0,1504
